name
Tolmiea menziesii
Oxalis albicans
Oxalis articulata
Oxalis corniculata
Oxalis hirta
Oxalis incarnata
Oxalis oregana
Oxalis pes-caprae
Oxalis pilosa
Oxalis suksdorfii
Oxalis trilliifolia
Pseudotrillium rivale
Stenanthium occidentale
Toxicoscordion fontanum
Toxicoscordion fremontii
Toxicoscordion micranthum
Toxicoscordion paniculatum
Toxicoscordion venenosum
Trillium albidum
Trillium angustipetalum
Trillium chloropetalum
Trillium ovatum
Veratrum californicum
Veratrum fimbriatum
Veratrum insolitum
Veratrum viride
Xerophyllum tenax
Populus alba
Populus fremontii
Populus nigra
Populus tremuloides
Populus trichocarpa
Salix alba
Salix babylonica
Salix bebbiana
Salix boothii
Salix breweri
Salix delnortensis
Salix eastwoodiae
Salix exigua
Salix geyeriana
Salix gooddingii
Salix hookeriana
Salix jepsonii
Salix laevigata
Salix lasiandra
Salix lasiolepis
Salix lemmonii
Salix ligulifolia
Salix lutea
Salix melanopsis
Salix orestera
Salix petrophila
Salix planifolia
Salix prolixa
Salix purpurea
Salix scouleriana
Salix sessilifolia
Salix sitchensis
Salix tracyi
Hesperolinon adenophyllum
Hesperolinon clevelandii
Hesperolinon disjunctum
Hesperolinon drymarioides
Hesperolinon micranthum
Hesperolinon spergulinum
Hesperolinon tehamense
Linum bienne
Linum grandiflorum
Linum lewisii
Linum perenne
Linum trigynum
Linum usitatissimum
Sclerolinon digynum
Selaginella asprella
Selaginella bigelovii
Selaginella hansenii
Selaginella kraussiana
Selaginella oregana
Selaginella scopulorum
Selaginella wallacei
Catalpa bignonioides
Aralia californica
Hedera canariensis
Hedera helix
Hedera hibernica
Hydrocotyle ranunculoides
Carpobrotus chilensis
Carpobrotus edulis
Lampranthus aurantiacus
Tetragonia tetragonioides
Umbellularia californica
Crassula aquatica
Crassula connata
Crassula tillaea
Dudleya caespitosa
Dudleya cymosa
Dudleya farinosa
Rhodiola integrifolia
Sedella pentandra
Sedum citrinum
Sedum divergens
Sedum lanceolatum
Sedum laxum
Sedum oblanceolatum
Sedum obtusatum
Sedum oreganum
Sedum oregonense
Sedum radiatum
Sedum spathulifolium
Sedum stenopetalum
Adiantum aleuticum
Adiantum capillus-veneris
Adiantum jordanii
Aspidotis californica
Aspidotis densa
Cryptogramma acrostichoides
Cryptogramma cascadensis
Myriopteris cooperae
Myriopteris covillei
Myriopteris gracilis
Myriopteris gracillima
Myriopteris intertexta
Pellaea andromedifolia
Pellaea brachyptera
Pellaea breweri
Pellaea mucronata
Pentagramma pallida
Pentagramma triangularis
