genus,species,score
Erigeron,supplex,0.00020142221599467544
Erigeron,tener,9.633236417136652e-05
Eriophyllum,confertiflorum,2.6272462955827234e-05
Eriophyllum,lanatum,0.027074450749351556
Eriophyllum,staechadifolium,0.0006102108313458621
Eucephalus,breweri,0.00015968657735308123
Eucephalus,engelmannii,0.00022205578119466004
Eucephalus,glabratus,0.0005099525227433676
Eucephalus,glaucescens,0.0005369196154632849
Eucephalus,gormanii,0.0007359912851279982
Eucephalus,ledophyllus,0.005387602487328669
Eucephalus,paucicapitatus,0.001115953260943478
Eucephalus,tomentellus,0.0010393682997330705
Eucephalus,vialis,0.0012523775435930571
Euchiton,gymnocephalus,0.0003912330666052715
Euchiton,involucratus,8.757487651942411e-06
Euchiton,japonicus,8.273214640280628e-05
Euchiton,sphaericus,0.0007076376360078262
Eupatorium,californicum,1.6546429280561253e-05
Eupatorium,cannabinum,2.5567600736346902e-05
Eurybia,conspicua,7.67028022090407e-05
Eurybia,integrifolia,0.0002266115855490223
Eurybia,merita,0.00027350035614092245
Eurybia,radulina,0.0033802593226673486
Eurybia,sibirica,2.5567600736346902e-05
Euthamia,graminifolia,0.00016995203369864266
Euthamia,occidentalis,0.002037566704034082
Eutrochium,maculatum,0.0003323788095725097
Filago,germanica,0.00010227040294538761
Filago,pyramidata,2.5303916932503665e-05
Filago,vulgaris,6.768163075325506e-05
Franseria,bipinnatifida,0.0002812436080998159
Franseria,chamissonis,2.5567600736346902e-05
Franseria,villosa,0.00010227040294538761
Gaertneria,bipinnatifida,5.1135201472693805e-05
Gaillardia,aristata,0.001127627647480901
Gaillardia,grandflora,2.5567600736346902e-05
Gaillardia,lorenziana,2.5567600736346902e-05
Gaillardia,pulchella,1.6546429280561253e-05
Galinsoga,parviflora,0.0002765895594907953
Galinsoga,quadriradiata,0.000509856101095928
Gamochaeta,coarctata,2.6272462955827234e-05
Gamochaeta,purpurea,0.0015085798227839182
Gamochaeta,ustulata,0.003354632795144765
Glebionis,coronaria,3.432508838828932e-05
Glebionis,segetum,0.00034642532198440217
Glyptopleura,marginata,4.963928784168377e-05
Gnaphalium,affine,3.309285856112251e-05
Gnaphalium,palustre,0.005447118213378876
Gnaphalium,uliginosum,0.0028347862135299625
Grindelia,camporum,0.00021893719129856027
Grindelia,fraxinipratensis,2.6272462955827234e-05
Grindelia,hirsutula,0.010102564960244663
Grindelia,integrifolia,0.002122429832991966
Grindelia,nana,0.0003240270431218692
Grindelia,squarrosa,0.00010786975561931944
Grindelia,stricta,0.0008102051232511531
Guizotia,abyssinica,2.5567600736346902e-05
Gutierrezia,sarothrae,1.6546429280561253e-05
Haplopappus,greenei,2.5567600736346902e-05
Haplopappus,gummifer,2.5567600736346902e-05
Harmonia,doris-nilesiae,0.0002627246295582723
Harmonia,guggolziorum,8.757487651942411e-06
Harmonia,hallii,8.757487651942411e-06
Harmonia,stebbinsii,0.0004816618208568326
Harpaecarpus,longipes,2.5567600736346902e-05
Hazardia,whitneyi,0.001108641483871577
Hedypnois,cretica,5.254492591165447e-05
